,Av,Av_err,age,age_err,d_kpc,dkpc_err,eep,eep_err,feh,feh_err,BV,B,V,jmag,hmag,kmag,logg,teff,logL,parallax,mass,prot
781,0.4051971425753297,0.01,10.075155206773807,2.0150310413547614,0.19525302770639671,0.01952530277063967,452.0021677585957,0.1,-0.06928211765688905,0.01,0.7769401307592663,11.704876206378374,10.927936075619108,9.455206284616093,9.057023041713217,8.996078766194215,4.083323804431144,5654.628526030322,0.2898004058795307,5.1215595053599205,0.9357454573136024,49.30381293632649
782,0.5960435954776472,0.01,10.138179471932514,2.0276358943865027,0.5599940741867637,0.05599940741867637,326.52107741804923,0.1,-0.19567556654592147,0.01,1.511615237562573,19.85364772804577,18.3420324904832,15.243565151357885,14.488083341370423,14.2870566422603,4.756718511790953,3897.4726492224754,-1.2929639067719352,1.7857331820023685,0.5113422036568095,76.93226437089315
783,0.10745055262890812,0.01,10.049505988464107,2.0099011976928214,0.29844746210936707,0.029844746210936707,376.6024208903599,0.1,0.13062042967658571,0.01,0.8524897817066339,13.838626067710885,12.986136286004252,11.52074800324765,11.081375903496866,11.01902753165138,4.467817987816084,5262.093226877389,-0.25436474904506157,3.3506734918507926,0.8658798941615821,50.905216788757286
784,0.016912799921607324,0.01,10.080124682338386,2.0160249364676774,0.42322083450585646,0.04232208345058565,382.91586782864806,0.1,0.12039228016134595,0.01,0.8332575865151739,14.511071365387327,13.677813778872153,12.265316465250654,11.829221479442905,11.770745273414056,4.4596029154233925,5236.783870773659,-0.260826235409981,2.3628326359867855,0.8538244265660468,52.12075550849384
785,0.9095644273803012,0.01,9.575960024268566,1.9151920048537132,0.38309821154371665,0.03830982115437167,450.10855610136286,0.1,-0.15821819275993945,0.01,0.7339175467159276,12.298902374631762,11.564984827915834,9.99374913859523,9.642617911807687,9.57053605760952,3.886625315471633,6287.585417782172,0.8002296540136339,2.610296706869086,1.25998091740389,25.080003751411063
786,0.2696300087671828,0.01,10.12931807525003,2.0258636150500062,0.8771458757498957,0.08771458757498957,376.4508594176541,0.1,0.03074295245308009,0.01,0.9724237926213526,16.847124733066938,15.874700940445585,14.1529335298719,13.644734371960292,13.56549401515668,4.493538034614587,5051.188489677146,-0.38022142209123144,1.1400612231632201,0.810811492420607,61.062143637213026
787,0.8196770027804591,0.01,9.499480470121176,1.8998960940242353,0.9062460090204103,0.09062460090204104,369.9710716566176,0.1,-0.01440732073324505,0.01,0.6995242313624388,14.933801986281939,14.2342777549195,12.763848007909019,12.434104815673404,12.369069523376593,4.245364280744388,6378.464822496283,0.44133094015080737,1.1034531352926247,1.1894690250284834,21.87153152995166
789,0.21143125799891116,0.01,10.143953001642657,2.0287906003285316,0.3368543908124484,0.03368543908124484,342.74628625438316,0.1,0.1922272908242894,0.01,1.2582997056834841,16.701482155472334,15.44318244978885,13.06061992720874,12.337850560643597,12.214905415570708,4.613513218871427,4287.122898702633,-0.8644388934118655,2.968641725548335,0.6728894906180098,71.21665850095646
791,0.6628597876346657,0.01,10.138158658416536,2.0276317316833072,0.9538688505882741,0.09538688505882742,405.1686240856234,0.1,-0.17310632796377556,0.01,0.8771011621779579,16.46659724859275,15.58949608641479,13.878720173606908,13.434118209082376,13.35770072865392,4.380818506074545,5567.804558710951,-0.08614762039269246,1.0483621510266068,0.8337697821916084,58.011191680109754
792,0.9654486346006212,0.01,9.913219576030318,1.9826439152060638,0.06962467545129447,0.006962467545129448,340.9832474316122,0.1,0.03793895180076384,0.01,1.282871550413061,13.068863816124816,11.785992265711755,9.310961605693496,8.642248167578462,8.513330308046337,4.583655490658965,4745.847053726256,-0.6091349685921319,14.362724041701911,0.7564473323611891,53.6673247368652
