,source_id,EPIC,ra,dec,G,G_err,bp,rp,parallax,parallax_err,Name,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,Kpmag,PrCat,PCat,All,2M,Simbad,_RA,_DE,prot
288,661018904492612224,211923502,130.9313386167857,19.075816399275777,13.057513,0.0003682161407166891,13.673925,12.324292,5.090174977068548,0.02626999872271902,JS547  ,0.71,13.01,10.79,12.07, 0.3313,1,Y, 0.00808,       ,       , ,M,M,N,    , 0.00800, 0.20203,K,13.05,1,2,All,2M,Simbad,130.9315,19.075862,12.07
290,659760650873719040,211923534,129.21498437883108,19.076344986017915,13.34352,0.0005335624622597097,14.031471,12.554991,5.337480940548098,0.035815888054814934,JS152  ,0.68,13.3,10.85,12.02, 0.8158,0,Y, 0.00840,       ,       , ,N,Y,N,    , 0.01259, 0.62187,2,13.33,0,2,All,2M,Simbad,129.215155,19.0764,12.02
291,662661540505500160,211923569,128.30984333013726,19.076739568512608,15.469457,0.0008584042019951334,16.665134,14.380634,5.347649830284142,0.06097528172403463,JS 27  ,0.44,15.85,12.09,15.57, 0.8760,0,Y, 0.00861,       ,       , ,N,Y,M,    , 0.03915, 1.80835,2,15.28,0,2,All,2M,Simbad,128.310012,19.076810000000002,15.57
294,659760788312669568,211924546,129.2364812519744,19.091075927084354,14.045742,0.0025831727601005367,14.923872,13.052279,3.232614531343274,0.4717626489059861,JS160  ,0.64,14.1,10.97,14.88, 0.8209,0,Y, 0.00823, 1.1951, 0.0712,0,Y,N,N,cand, 0.01404, 0.62568,K,14.02,1,2,All,2M,Simbad,129.236655,19.091128,14.88
297,661028662658249344,211925093,130.67690278963875,19.099649730666968,11.434957,0.0007925019334961157,11.8415575,10.903215,5.480801093228761,0.036531337404346206,KW476  ,1.02,11.4,9.88, 8.69, 0.3977,0,Y, 0.00825,       ,       , ,M,Y,N,    , 0.00962, 0.37243,K,11.41,1,2,All,2M,Simbad,130.67701,19.0997,8.69
300,659750514750888192,211925371,129.37919688093862,19.103901831705475,13.370219,0.00045813433663238675,14.101716,12.547092,5.301821468492206,0.12016147740822038,JS186  ,0.72,13.34,10.77,13.12, 0.8750,0,Y, 0.00941,       ,       , ,N,Y,N,conf, 0.01455, 0.68789,2,13.37,0,1,All,2M,Simbad,129.37936499999998,19.103962,13.12
301,659755630055476992,211925552,129.4473044979523,19.106819791131734,12.026661,0.0005030631788383557,12.505101,11.414849,5.416343773349031,0.05260352319187796,KW 52  ,0.95,11.97,10.2, 9.33, 0.6514,0,Y, 0.00822,       ,       , ,N,Y,N,    , 0.01755, 0.80950,D,12.02,2,1,All,2M,Simbad,129.447466,19.106876,9.33
302,661008527851529728,211925563,130.3998073677706,19.107022435384835,13.63673,0.0003682797946387367,14.395894,12.795698,5.37618388179415,0.030762257426871047,JC259  ,0.64,13.62,10.98,13.48, 0.8568,0,Y, 0.00830,       ,       , ,N,Y,N,    , 0.02201, 1.07098,2,13.62,1,2,All,2M,Simbad,130.399967,19.10707,13.48
306,661207024061875456,211926132,129.80055741569296,19.11555998141989,10.44719,0.0006347438609353055,10.747407,10.014978,5.344843039182075,0.055877508519673054,KW162  ,1.18,10.42,9.26, 5.87, 0.5172,0,Y, 0.00826,       ,       , ,M,N,N,    , 0.01708, 0.57441,K,10.45,1,1,All,2M,Simbad,129.800723,19.115613,5.87
315,659750892708009088,211927213,129.35980731045353,19.132081865590926,14.138555,0.0006624594298675744,15.039493,13.209009,5.341012342067184,0.040152080071606804,JS180  ,0.61,14.18,11.19,14.66, 0.8720,0,Y, 0.00852,       ,       , ,N,Y,N,    , 0.02621, 1.20209,2,14.15,1,2,All,2M,Simbad,129.359979,19.132137,14.66
316,661029727808613760,211927269,130.66737535772427,19.133036603310817,11.91954,0.000612703194469271,12.365111,11.337653,5.365351143031867,0.04381332401405781,KW471  ,0.96,11.88,10.19, 9.39, 0.9077,0,Y, 0.00782,       ,       , ,N,N,Y,    , 0.02046, 0.93806,K,11.91,1,2,All,2M,Simbad,130.66754699999998,19.133079000000002,9.39
317,659756493345357056,211927313,129.42635060275578,19.133719837491167,9.687124,0.00035012913236880447,9.947457,9.303324,5.345717315807044,0.07186879980824651,KW 47  ,1.42,9.68,8.58, 3.06, 0.2011,0,Y, 0.00843,       ,       , ,Y,N,N,conf, 0.00134, 0.02549,2,9.79,1,1,All,2M,Simbad,129.426516,19.133763000000002,3.06
319,661031480156796544,211928486,130.58352658328508,19.15152647861368,13.096282,0.0002691527411959961,13.750752,12.333684,5.31500011764345,0.025936664664915822,JS482  ,0.76,13.04,10.7,11.93, 0.5645,0,Y, 0.00772,       ,       , ,N,Y,N,    , 0.00636, 0.31742,D,13.08,2,2,All,2M,Simbad,130.583682,19.151555,11.93
327,661029384212747392,211929531,130.7598999376483,19.167516307438163,11.908672,0.0005404837535970442,12.359225,11.322878,5.457489724762996,0.04037789495171565,KW492  ,0.98,11.84,10.16, 9.89, 0.6509,0,Y, 0.00794,       ,       , ,N,Y,N,    , 0.00489, 0.19752,2,11.88,1,2,All,2M,Simbad,130.760069,19.167569,9.89
331,659763880689114240,211930233,129.26423863014006,19.178047241090972,13.162781,0.00041226197623032913,13.820363,12.398697,5.671465660625586,0.058584412290064225,JC 85  ,0.75,13.12,10.73,19.02, 0.5913,0,Y, 0.00909,       ,       , ,N,Y,N,    , 0.00412, 0.22391,2,13.17,1,2,All,2M,Simbad,129.264414,19.178107,19.02
332,661211147230556160,211930461,130.08873804821644,19.18176030654177,13.977336,0.0004949984546393638,14.762574,13.008115,5.368220970408822,0.037057546632043685,JC201  ,0.73,13.49,10.76,14.59, 0.8391,0,Y, 0.00816,       ,       , ,N,Y,Y,conf, 0.00934, 0.38429,2,13.49,0,1,All,2M,Simbad,130.088905,19.181773,14.59
