,source_id,EPIC,ra,dec,G,G_err,bp,rp,parallax,parallax_err,Name,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,Kpmag,PrCat,PCat,All,2M,Simbad,_RA,_DE,prot
813,664344824088164352,211997380,129.81230595198352,20.21072116387995,11.136425,0.0010965939346625955,11.506669,10.635259,5.46961601818486,0.05453459847854041,KW164  ,1.05,11.13,9.65, 8.12, 0.7865,0,Y, 0.00748,       ,       , ,N,Y,N,conf, 0.00962, 0.41410,K,11.09,1,1,All,2M,Simbad,129.812514,20.210788,8.12
816,663781564897118592,211997840,126.87757219906383,20.21822434352207,13.5463915,0.00045393431208435225,14.30019,12.715052,5.343671373921331,0.037565788955487685,AD 0982,0.67,13.52,10.9,12.95, 0.8099,0,Y, 0.00799,       ,       , ,N,Y,N,    , 0.01602, 0.78714,2,13.85,1,2,All,2M,Simbad,126.877702,20.218288,12.95
819,663805754152866688,211998019,126.3541204327802,20.2215505053906,15.441096,0.0005624293843987815,16.692192,14.3235235,5.2479591688199045,0.06441984700619433,AD 0738,0.49,15.89,11.93,18.55, 0.3109,0,Y, 0.00841, 0.5119, 0.1189,0,Y,Y,Y,    , 0.00553, 0.16210,2,15.21,0,2,All,2M,Simbad,126.35432,20.221593,18.55
820,664388357876585344,211998178,129.39590153451527,20.223980109255155,14.666873,0.0005195482143720065,15.787425,13.609006,5.168909203448628,0.09257094467974716,JS191  ,0.6,15.08,11.36,15.57, 0.6637,0,Y, 0.00751,       ,       , ,N,Y,Y,cand, 0.01062, 0.44291,2,14.63,0,1,All,2M,Simbad,129.396097,20.224048,15.57
821,661573608108602752,211998192,132.20457350134427,20.22420594549211,15.156143,0.00037737204299215254,16.288813,14.0942335,5.3674782573548505,0.043751570789042175,       ,0.52,15.55,11.83,19.27, 0.3622,0,Y, 0.00802,       ,       , ,N,Y,N,    , 0.00812, 0.28755,2,15.05,0,1,All,2M,Simbad,132.204756,20.22427,19.27
822,661424074527577600,211998346,130.4324005022724,20.226816426525026,10.350761,0.0004583697363768822,10.64717,9.920475,5.508442278230015,0.07467698761992542,KW418  ,1.2,10.32,9.14, 5.51, 0.4020,0,Y, 0.00859,       ,       , ,N,Y,N,    , 0.00844, 0.25709,K,10.35,1,1,All,2M,Simbad,130.432573,20.226865,5.51
823,664380111539399552,211998436,129.11777266219994,20.228536119224703,12.356578,0.00047082644852413773,12.864744,11.715506,5.284375592118107,0.06035791307707996,KW535  ,0.85,12.3,10.44,10.29, 0.5970,0,Y, 0.00798,       ,       , ,N,Y,N,cand, 0.01941, 0.75208,D,12.29,1,2,All,2M,Simbad,129.11793799999998,20.228591,10.29
827,663782904926907392,211999343,126.96070952027638,20.243358535118443,13.849449,0.0003117679739424979,14.660298,12.97782,5.26964026310349,0.04040498670647262,AD 1025,0.62,13.85,11.07,14.52, 0.5538,0,Y, 0.00830,       ,       , ,N,Y,N,    , 0.00737, 0.25599,2,14.19,1,2,All,2M,Simbad,126.960844,20.243416,14.52
833,661391157898332160,212002216,131.20278936192454,20.290503211112178,12.608421,0.00037754633245495135,13.175258,11.917593,5.362164184118453,0.037004561508833134,JS576  ,0.83,12.55,10.51,10.93, 0.4485,0,Y, 0.00884,       ,       , ,N,N,N,    , 0.01687, 0.53219,K,12.52,1,2,All,2M,Simbad,131.20295900000002,20.290554,10.93
837,664428833647956480,212003469,130.11915690330244,20.312399132594503,11.37837,0.0009938634506303497,11.854504,10.770347,5.432828564416382,0.08663431310098402,KW297  ,1.12,11.36,9.46, 8.14, 0.7021,0,Y, 0.00776,       ,       , ,N,Y,N,conf, 0.01064, 0.47408,K,11.32,1,2,All,2M,Simbad,130.11933100000002,20.31246,8.14
839,664404713111939072,212003893,129.2356386521102,20.319390209663432,14.762062,0.0010561451214566495,16.001783,13.635466,5.617649783890981,0.292679787912409,JS157  ,0.61,15.14,11.23, 2.13, 0.4710,0,Y, 0.00792,16.0727, 0.1291,0,Y,Y,M,cand, 0.03377, 1.14732,2,14.26,0,2,All,2M,Simbad,129.235769,20.31948,2.13
840,661438260802777600,212004731,130.81545939530417,20.33373217038846,11.9430065,0.0002925904250565064,12.098522,11.395608,2.3551387852963193,0.05160927559711507,KW548  ,0.8,11.81,10.59, 3.96, 0.1085,0,N, 0.00838,       ,       , ,M,Y,Y,conf, 0.00157, 0.02363,2,11.79,0,0,All,2M,Simbad,130.815494,20.333748,3.96
842,661438913637806208,212004983,130.75211354398243,20.337744979622723,11.259017,0.0006196216705076221,11.641185,10.744737,5.431982088925898,0.06182453788536339,KW488  ,1.04,11.22,9.77, 8.94, 0.6804,0,Y, 0.00801,       ,       , ,N,Y,N,conf, 0.00937, 0.35066,K,11.23,1,1,All,2M,Simbad,130.75228,20.337799,8.94
843,664429005446645376,212005017,130.15769433450942,20.338243110948362,14.38916,0.00032623151006353954,15.327115,13.433084,5.236413610336276,0.032707048831026715,JS373  ,0.6,14.46,11.37,15.65, 0.1141,0,Y, 0.00865,       ,       , ,N,Y,N,    , 0.00992, 0.21371,2,14.36,1,2,All,2M,Simbad,130.15786,20.338288000000002,15.65
845,661429675164926464,212005503,130.46614275075495,20.346591442736788,15.654278,0.000536433459356007,16.898949,14.534117,5.402545214803951,0.07716549029650092,JS459  ,0.41,15.82,12.19,20.73, 0.1143,1,Y, 0.00789,       ,       , ,N,Y,N,    , 0.00938, 0.25855,2,15.29,0,2,All,2M,Simbad,130.466306,20.346621,20.73
846,664431204469943808,212005504,130.33679154676855,20.346503121209572,15.749805,0.000696766672775379,17.003767,14.628861,5.031618730766057,0.0602825256358726,JS426  ,0.39,16.13,12.27,21.78, 0.3499,0,Y, 0.00797,       ,       , ,N,Y,N,    , 0.01422, 0.54894,2,15.51,0,2,All,2M,Simbad,130.336925,20.346638000000002,21.78
848,664349874969575680,212005623,129.77850250435765,20.348347821496937,15.300904,0.0007884738149332738,16.464916,14.217877,5.260044713860915,0.061677292119419996,JS270  ,0.49,15.58,11.91,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,15.16,0,2,All,2M,Simbad,129.77863100000002,20.348413,0.0
850,661766778557840000,212006227,131.26744414921714,20.357684991560813,10.244328,0.00040347947770060785,10.523946,9.832527,5.542117949542688,0.046195914451931865,JS587  ,1.2,10.21,9.13, 3.67, 0.3961,0,Y, 0.00860,       ,       , ,N,Y,N,    , 0.00882, 0.34561,K,10.21,1,1,All,2M,Simbad,131.2676,20.357739000000002,3.67
851,661441494914973184,212006723,130.96171977273522,20.365690208020638,14.780137,0.00027506187258026174,15.85408,13.745826,5.7461398608434004,0.05091310802212652,JS552  ,0.58,14.96,11.51,18.79, 0.7462,0,Y, 0.00821,       ,       , ,N,Y,Y,    , 0.00984, 0.47261,2,14.76,0,2,All,2M,Simbad,130.961879,20.365762,18.79
856,664431548067327616,212007419,130.2959378141317,20.377295417309114,15.167747,0.0006132793910041417,16.326447,14.096358,5.305034338634736,0.047730813827665405,JS411  ,0.52,15.43,11.82,18.55, 0.2497,0,Y, 0.00836,       ,       , ,N,Y,N,    , 0.01614, 0.44275,2,15.13,0,2,All,2M,Simbad,130.296097,20.377373000000002,18.55
858,660878991637884672,212008710,133.75917557600332,20.398297808069138,13.524284,0.0002631621308696063,14.254892,12.703933,5.410014361191279,0.02449560921052637,AD 4269,0.65,13.52,10.95,11.65, 0.2089,1,Y, 0.00775,       ,       , ,N,Y,Y,    , 0.00980, 0.22123,2,13.55,0,2,All,2M,Simbad,133.75933799999999,20.398351,11.65
863,664407427531262464,212009190,129.24938612192435,20.406455797693546,14.253985,0.0004743635847565581,15.169257,13.310296,5.32579296940759,0.06912020317755148,AD 2250,0.6,14.31,11.32,15.26, 0.9022,0,Y, 0.00815,       ,       , ,N,Y,N,    , 0.01647, 0.78676,2,14.22,1,2,All,2M,Simbad,129.24956,20.406513,15.26
864,664444914005442304,212009294,129.79217628066218,20.40832422644786,13.76608,0.0004133816247595259,14.5818,12.891468,5.498522590347513,0.0392539689155185,JS273  ,0.63,13.77,11.0,13.98, 0.5141,0,Y, 0.00862,       ,       , ,N,Y,N,    , 0.02146, 0.68607,2,13.73,1,2,All,2M,Simbad,129.792343,20.408392000000003,13.98
865,663140171661012480,212009427,127.87430869761643,20.410365863838948,14.000644,0.0010997921512002314,15.024135,12.995645,5.428999261424536,0.03532485455435824,AD 1508,0.72,14.14,10.77, 1.56, 0.8841,0,Y, 0.00875,       ,       , ,N,Y,N,cand, 0.04566, 2.05561,P,14.07,1,2,All,2M,Simbad,127.874459,20.410422,1.56
867,664409175581692288,212009464,129.1740828623969,20.411041118953793,12.594963,0.0005070290542207666,13.135057,11.930854,5.153553882442397,0.08410075155456553,JS143  ,0.82,12.52,10.52,11.01, 0.2767,0,N, 0.00883,       ,       , ,N,Y,N,    , 0.01817, 0.70551,2,12.52,1,2,All,2M,Simbad,129.174249,20.411089,11.01
868,664442233945917440,212009944,130.04160395273945,20.41889388534714,14.679636,0.0004888732150329629,15.846673,13.606031,5.36163368944178,0.05256533919419089,JS340  ,0.6,14.98,11.31,19.02, 0.5296,0,N, 0.00830, 4.4121, 0.3667,0,Y,N,N,cand, 0.01452, 0.54508,2,14.67,0,2,All,2M,Simbad,130.041762,20.418951999999997,19.02
869,661768771422658816,212010154,131.35814915334385,20.422886817446553,14.147637,0.0002744376535285888,15.038251,13.219778,5.257900214997648,0.029399038449805202,JS595  ,0.61,14.2,11.21,14.38, 0.6720,0,Y, 0.00740,       ,       , ,N,Y,Y,    , 0.00684, 0.29625,2,14.26,1,2,All,2M,Simbad,131.358321,20.422945000000002,14.38
870,661768771422658688,212010383,131.35811949751357,20.427334551976344,13.66073,0.0002519480270829769,14.4670725,12.786639,5.483357748694867,0.0421556473909156,JS594  ,0.67,13.66,10.88,14.52, 0.2858,0,Y, 0.00851,       ,       , ,M,Y,Y,    , 0.01070, 0.32429,2,13.61,1,2,All,2M,Simbad,131.358295,20.427394,14.52
872,664401960036152960,212011152,129.53351784023096,20.43948122102108,11.519134,0.0007499045716976221,11.928095,10.978165,5.352046844158329,0.07614164721997609,KW542  ,1.02,11.48,9.93, 9.16, 0.5142,0,Y, 0.00817,       ,       , ,N,Y,N,    , 0.01377, 0.53445,K,11.47,0,1,All,2M,Simbad,129.533717,20.439526,9.16
873,661770695568010624,212011328,131.2542627665415,20.44216220600666,11.6371155,0.00026454769951979177,11.998581,11.126969,2.349560357768399,0.03813991146200547,JS585  ,0.98,11.61,10.13,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,11.57,0,1,All,2M,Simbad,131.254435,20.442207,0.0
874,661598175321463936,212011394,132.2081004318106,20.443276101188296,15.186316,0.0004979048631748909,16.327185,14.118636,5.22944835151913,0.06584851699833297,       ,0.51,15.53,11.86,19.65, 0.3722,1,Y, 0.00786,       ,       , ,N,Y,N,    , 0.00897, 0.27963,2,15.21,0,1,All,2M,Simbad,132.20826100000002,20.443332,19.65
875,664401964332947584,212011557,129.53391425824518,20.446090508264035,15.476082,0.0008183333257942907,16.715454,14.363923,5.5105332458584195,0.07028625848373987,       ,0.46,15.69,12.02,21.63, 0.6439,0,Y, 0.00755,       ,       , ,N,Y,Y,    , 0.02355, 1.05650,2,15.35,0,1,All,2M,Simbad,129.534046,20.446122,21.63
876,664402170491377920,212011731,129.53026274866565,20.448748652790314,15.531444,0.0005927248069651422,16.783064,14.407101,5.426250453421254,0.07839422984234252,       ,0.45,15.86,12.04,21.47, 0.8781,0,Y, 0.00870,       ,       , ,N,N,Y,    , 0.03669, 1.59981,2,15.33,1,1,All,2M,Simbad,129.530453,20.448794,21.47
878,664437286143573760,212012299,130.26076024738802,20.457651294278513,12.092864,0.0006644984813123979,12.568679,11.480014,5.348402729577359,0.04429790236332513,       ,0.9,12.06,10.29, 9.63, 0.2783,0,N, 0.00743,       ,       , ,N,Y,N,    , 0.01224, 0.60377,2,12.02,0,2,All,2M,Simbad,130.260917,20.457701,9.63
879,664445532480726912,212012721,129.82849347929002,20.46442988256106,15.584529,0.0005953115181870706,16.738956,14.508654,4.587628158537128,0.0651442223082355,JS285  ,0.4,15.81,12.23,23.49, 0.4535,0,Y, 0.00877,       ,       , ,N,N,N,    , 0.00643, 0.19800,2,15.58,0,2,All,2M,Simbad,129.828591,20.464467000000003,23.49
882,664436770747504128,212013132,130.18424619841775,20.471797535596053,13.517692,0.0010662879850635004,14.468022,12.550516,5.046806492259383,0.05161949450337168,JS379  ,0.86,13.62,10.4, 2.13, 0.4385,0,Y, 0.00759,12.3168, 0.1648,0,Y,N,N,cand, 0.02412, 0.76497,D,13.54,1,2,All,2M,Simbad,130.184406,20.471852,2.13
883,664437320503310336,212013222,130.27198826437743,20.47342034334239,14.418907,0.00040219184576326746,15.357709,13.461872,5.231505120538271,0.033783684192221754,JS405  ,0.6,14.47,11.41,14.81, 0.1769,0,Y, 0.00884,       ,       , ,N,Y,N,    , 0.02654, 0.63128,2,14.41,0,2,All,2M,Simbad,130.27213799999998,20.473481,14.81
884,664436770747502208,212013297,130.19532134510885,20.474714688374597,15.165906,0.0007691396651219941,16.359562,14.04964,4.955712204410349,0.1842693740306251,JS384  ,0.55,15.43,11.68,18.79, 0.7689,0,Y, 0.00906, 1.0205, 0.0293,0,Y,N,N,    , 0.01871, 0.83554,2,15.13,0,2,All,2M,Simbad,130.195472,20.47475,18.79
891,661458365546507776,212015396,130.82415945349217,20.510348094309204,11.611212,0.0006748148692677151,12.058024,11.025954,5.456443479481596,0.062012967989613546,JS529  ,1.04,11.59,9.78, 9.00, 0.1768,0,Y, 0.00796,       ,       , ,N,Y,N,cand, 0.02154, 0.46628,D,11.55,2,1,All,2M,Simbad,130.824326,20.510395000000003,9.0
893,661773375627598208,212015504,131.26086216480763,20.512105100861188,14.395109,0.0002856349235063724,15.531029,13.334551,8.27852395775601,0.036121284924975426,JS586  ,0.62,14.59,11.1,24.64, 0.6077,0,Y, 0.00792,       ,       , ,N,Y,Y,cand, 0.00980, 0.34072,2,14.36,1,2,All,2M,Simbad,131.261007,20.51216,24.64
899,661459774295768960,212016988,130.90353563645147,20.537164137290716,15.356056,0.00033057228734908214,16.538088,14.270442,5.270755075890219,0.047316243610890756,JS542  ,0.48,15.66,11.94,19.27, 0.1352,0,Y, 0.00694,       ,       , ,N,Y,Y,    , 0.00912, 0.23407,2,15.27,0,2,All,2M,Simbad,130.90371299999998,20.537217000000002,19.27
903,664417494934591488,212017486,129.30238187682917,20.544779408638934,14.144938,0.0005890954349242525,15.028244,13.222096,5.422464144403654,0.06236265560536881,JS169  ,0.6,14.2,11.37,13.98, 0.5152,0,Y, 0.00777,       ,       , ,N,Y,N,    , 0.01668, 0.65831,2,14.12,0,2,All,2M,Simbad,129.302556,20.544856,13.98
906,664600907218072064,212018005,129.06640575248807,20.55304981366758,14.103219,0.0004151963381403141,14.971796,13.186118,5.517238461476962,0.05212196171758957,JS118  ,0.61,14.14,11.23,13.36, 0.1252,0,Y, 0.00786,       ,       , ,N,Y,N,    , 0.01574, 0.75457,2,14.08,1,2,All,2M,Simbad,129.066574,20.553112,13.36
907,661460083533415040,212018728,130.85405574296436,20.565317202503884,14.438608,0.0003359380672849378,15.39372,13.472018,5.32694105574077,0.036729174364252375,JS533  ,0.6,14.57,11.4,16.51, 0.5666,0,Y, 0.00811,       ,       , ,N,Y,N,    , 0.01851, 0.68121,2,14.41,1,2,All,2M,Simbad,130.854221,20.565367000000002,16.51
909,664403991557398784,212018902,129.56224039754272,20.56776085132002,11.244787,0.0015335191074542132,11.633686,10.735727,5.394970759194516,0.09008009013220922,KW543  ,1.05,11.24,9.72, 9.36, 0.5313,0,Y, 0.01065,       ,       , ,N,Y,N,    , 0.01623, 0.53755,K,11.2,1,1,All,2M,Simbad,129.562468,20.567839000000003,9.36
912,661462312620257664,212019252,130.70179848491935,20.573373602513858,12.207367,0.00022223572213175765,12.702906,11.573817,3.8992991951113565,0.06107655260457928,JS503  ,0.92,12.16,10.26,11.26, 0.4920,0,Y, 0.00836,       ,       , ,N,Y,N,    , 0.00529, 0.16428,D,12.14,2,2,All,2M,Simbad,130.70195900000002,20.573431,11.26
913,664497209527231872,212019439,129.69194458283602,20.57671625455086,12.174534,0.00042371050374216646,12.655479,11.558397,5.308317594683201,0.052339942361631316,KW544  ,0.89,12.13,10.31, 9.36, 0.4424,0,Y, 0.00783,       ,       , ,N,Y,N,    , 0.02344, 0.75711,K,12.13,1,2,All,2M,Simbad,129.692107,20.57678,9.36
914,664453778817920256,212019656,129.96352042792535,20.580480145426282,15.109928,0.0009739442841167836,16.294613,14.014729,5.474356185695712,0.05707481570533219,JS318  ,0.57,15.21,11.59, 1.84, 0.8517,0,Y, 0.00920,       ,       , ,N,Y,Y,    , 0.04180, 1.98173,P,14.88,0,2,All,2M,Simbad,129.96371499999998,20.580548,1.84
915,661779796602531712,212020223,131.37687975615577,20.590108936298048,9.720362,0.0002722100988526881,9.962874,9.357484,5.412289737755958,0.0563619839104143,JS600  ,1.32,9.72,8.77, 0.95, 0.0577,1,Y, 0.00884,       ,       , ,Y,N,N,conf, 0.00112, 0.01325,2,9.76,1,1,All,2M,Simbad,131.37704499999998,20.590168,0.95
921,664419556518886272,212021253,129.368416928607,20.60786507810245,14.749161,0.0011301730904339415,15.818133,13.716638,5.628978500805396,0.07861859105173484,JS181  ,0.59,14.83,11.49, 7.24, 0.8205,0,Y, 0.00794,       ,       , ,N,Y,N,    , 0.07387, 3.40926,P,14.75,0,2,All,2M,Simbad,129.368592,20.607941,7.24
922,664600804138934400,212021375,129.1666180310231,20.6097280638753,11.67919,0.0012008492421684402,12.095384,11.126469,5.273767338922732,0.09316362644493965,JS142  ,0.99,11.65,10.08, 8.89, 0.2626,0,N, 0.00796,       ,       , ,N,Y,N,    , 0.00641, 0.25317,2,11.6,1,2,All,2M,Simbad,129.16680300000002,20.609919,8.89
926,664455118847781760,212023280,130.0932251313692,20.640806391293975,14.20535,0.0006070599158674887,15.116194,13.2681055,5.5285577380620765,0.03872515662509116,JS353  ,0.61,14.27,11.22,14.73, 0.4982,0,Y, 0.00762,       ,       , ,N,Y,N,    , 0.02185, 0.94928,D,14.17,2,2,All,2M,Simbad,130.093397,20.640869,14.73
928,664502084313453568,212024154,129.8833275727914,20.655593873341424,11.835549,0.00034026196302227717,12.379775,11.1648445,4.649497958671149,0.3399035755704599,JS297  ,1.04,11.75,9.77,10.54, 0.5061,0,N, 0.00763,       ,       , ,N,Y,Y,cand, 0.00955, 0.33251,2,11.76,1,2,All,2M,Simbad,129.8835,20.655656,10.54
931,663904126083650048,212024569,127.73989373787882,20.66242825025065,14.741109,0.00043115379997806424,15.682821,13.784791,5.003428940005511,0.056472687619956156,AD 1423,0.55,14.7,11.72,15.49, 0.2864,0,Y, 0.00840,       ,       , ,N,N,N,    , 0.00796, 0.18426,2,14.89,0,2,All,2M,Simbad,127.74001499999999,20.662463,15.49
933,664464808293984000,212025163,130.4165500451054,20.672141222866763,9.522808,0.00023217331470250837,9.754986,9.176066,5.182855385882038,0.0762859184592595,JS446  ,1.42,9.53,8.59, 1.06, 0.1133,0,Y, 0.00811,       ,       , ,Y,N,N,    , 0.00090, 0.01379,2,9.64,1,1,All,2M,Simbad,130.416701,20.672195000000002,1.06
935,664605889380126336,212025814,129.02612324623422,20.683262753258393,14.663329,0.0004128361339347811,15.712086,13.644173,5.309028403383238,0.06928621647081837,JS109  ,0.59,14.75,11.45,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,14.61,1,2,All,2M,Simbad,129.026295,20.683319,0.0
936,664605270904832768,212025985,129.0645446318721,20.68598625427658,14.8284025,0.0005790370657150546,15.878354,13.814615,5.192883283366923,0.07382382575065881,JS117  ,0.56,14.91,11.63,17.27, 0.4589,0,Y, 0.00821,       ,       , ,N,Y,Y,    , 0.01562, 0.39024,2,14.82,1,2,All,2M,Simbad,129.064719,20.686044,17.27
939,664641348629985280,212026921,128.31408962212126,20.702435465774236,12.459369,0.00035759776551306773,12.986339,11.800583,5.478656257565709,0.045435446259438204,JS 25  ,0.85,12.39,10.44,12.07, 0.4166,0,Y, 0.00860,       ,       , ,M,Y,N,    , 0.00954, 0.31002,2,12.51,0,2,All,2M,Simbad,128.314256,20.702492000000003,12.07
946,661699910210446848,212027750,132.3113302739501,20.716874521494653,13.319321,0.0002190345704935992,14.00448,12.5261345,4.396436809177773,0.024479043518402306,       ,0.69,13.31,10.82,20.31, 0.3107,0,Y, 0.00810,       ,       , ,N,Y,Y,    , 0.00210, 0.05459,2,13.32,1,1,All,2M,Simbad,132.311534,20.716921,20.31
948,664513049366544256,212028430,129.59926074695244,20.727951500792802,14.257169,0.00042476433220988883,15.174588,13.312368,5.339991116670405,0.04159442362652704,JS227  ,0.6,14.28,11.3,15.33, 0.7339,0,Y, 0.00928,       ,       , ,N,Y,Y,    , 0.01159, 0.54683,2,14.24,1,1,All,2M,Simbad,129.599439,20.728011,15.33
950,664506143059189888,212029094,129.82505464661259,20.73921031869653,15.452684,0.0008018530277555082,16.650742,14.360158,5.396699185476153,0.06104829895742494,JS284  ,0.45,15.78,12.06,19.91, 0.5500,0,Y, 0.00919,       ,       , ,N,Y,N,    , 0.02244, 0.91514,2,15.42,1,2,All,2M,Simbad,129.825208,20.739261,19.91
952,664506173122311936,212030244,129.83961375201426,20.758073978552307,11.727034,0.0004411026357648183,12.1588955,11.158872,5.476006236323181,0.04711684526999872,JS286  ,1.0,11.69,10.03, 9.19, 0.6833,0,Y, 0.00860,       ,       , ,N,Y,N,    , 0.01465, 0.63956,D,11.67,1,2,All,2M,Simbad,129.839768,20.758183,9.19
956,664478620908806784,212031366,130.32994101477433,20.777495271485403,13.054496,0.0005319802974446006,13.695604,12.303731,5.0098298947984965,0.05799285711603572,JS424  ,0.76,13.0,10.7,12.42, 0.9446,0,Y, 0.00951,       ,       , ,N,Y,N,    , 0.01793, 0.87872,2,13.0,0,2,All,2M,Simbad,130.330098,20.777565,12.42
963,664625302630788608,212034371,128.9871203172829,20.82625336691887,11.629719,0.001437708811652863,12.058298,11.040685,5.236612307135159,0.049714744333394054,JS102  ,1.03,11.76,9.83, 1.21, 0.3959,0,Y, 0.00773,       ,       , ,N,Y,Y,conf, 0.02411, 0.70822,2,11.56,0,2,All,2M,Simbad,128.98728799999998,20.826318,1.21
970,685766025015273856,212064701,133.01426199636626,21.36023073929189,12.308469,0.0004239567633069649,12.867763,11.624339,6.591107259378685,0.03739120088859684,AD 3937,0.97,12.16,10.17, 9.51, 0.2182,0,Y, 0.00831,       ,       , ,N,Y,N,cand, 0.00762, 0.33417,2,12.28,1,2,All,2M,Simbad,133.01439299999998,21.360267999999998,9.51
975,665458595007014912,212069223,128.44553632591365,21.44094450968768,14.047726,0.0002470493560482056,14.93322,13.1286125,5.359653624352469,0.04220196596482247,JS 45  ,0.62,14.23,11.15,14.66, 0.7871,0,Y, 0.00857,       ,       , ,N,Y,N,    , 0.00767, 0.34713,2,14.09,1,2,All,2M,Simbad,128.445705,21.441010000000002,14.66
983,664770472526841472,212074908,129.6173019131827,21.54605801586549,12.911443,0.0004522119334250174,13.697773,12.052224,5.3942410124039135,0.45389231246408346,JS231  ,0.95,12.93,10.2,13.66, 0.2869,0,Y, 0.00775,       ,       , ,N,Y,N,conf, 0.00873, 0.40865,2,12.83,1,2,All,2M,Simbad,129.61746599999998,21.546126,13.66
984,665129291274350976,212075775,130.15080951408973,21.561656990105504,11.53983,0.0005944081460966737,11.937192,11.007102,5.359579189347476,0.05491876169920949,       ,1.01,11.61,9.97, 9.02, 0.2018,0,Y, 0.00830,       ,       , ,N,Y,N,    , 0.00664, 0.26359,D,11.45,2,2,All,2M,Simbad,130.15098600000002,21.561719,9.02
985,664814727869793536,212075988,129.24079877473912,21.565437984573176,13.902045,0.0003112591124943216,14.722241,13.023156,5.2769078403266,0.02933360317313836,JS156  ,0.62,13.89,11.12,13.98, 0.6335,0,Y, 0.00896,       ,       , ,N,Y,N,    , 0.01245, 0.51515,D,13.8,2,2,All,2M,Simbad,129.240957,21.565496,13.98
988,665530406860150912,212077235,127.79337532501926,21.589489333949704,13.641035,0.000303566845175739,14.307997,12.8661,4.150895098492423,0.027698490899247294,AD 1459,0.61,13.63,11.21,16.16, 0.2908,0,Y, 0.00748,       ,       , ,N,M,N,    , 0.01038, 0.28020,2,13.69,1,2,All,2M,Simbad,127.793522,21.589564000000003,16.16
992,664909835625008256,212078811,131.22427383857732,21.618438824824,15.499498,0.0006567543501182184,16.731792,14.377043,5.54392617910772,0.0853041298558594,AD 3349,0.47,15.87,12.01,23.67, 0.7191,0,Y, 0.00792,       ,       , ,N,M,Y,    , 0.01146, 0.45626,2,15.19,0,2,All,2M,Simbad,131.224474,21.618479999999998,23.67
993,665004702861616256,212080687,131.36626481121152,21.65353004826067,10.407047,0.0007664492654926899,10.6937065,9.981182,5.236533849889874,0.0779136638207377,JS596  ,1.18,10.34,9.26, 4.92, 0.5092,0,Y, 0.00778,       ,       , ,N,Y,N,    , 0.00535, 0.15733,K,10.34,1,1,All,2M,Simbad,131.36643899999999,21.653576,4.92
994,664963024499946496,212081702,130.84387194770818,21.67163315682793,10.40414,0.0003465123618863269,10.767578,9.905735,5.597635847709588,0.04702067263944514,JS532  ,1.24,10.36,8.97,11.17, 0.7738,0,Y, 0.00804,       ,       , ,N,Y,N,conf, 0.01304, 0.59481,2,10.34,1,1,All,2M,Simbad,130.844045,21.671699,11.17
1004,665713505609707392,212088355,127.14549436944493,21.79506359780147,12.622367,0.00020153518646802437,13.078378,12.018189,3.559260684013107,0.05959160939165361,AD 1135,0.75,12.64,10.73,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,12.62,1,2,All,2M,Simbad,127.145624,21.795114,0.0
1016,665785802795255808,212104191,126.99205692594448,22.102003767769297,9.562928,0.00025872648666772557,9.799806,9.208923,6.1467294075457035,0.11632172057980168,II 490 ,1.4,9.56,8.63, 1.13, 0.0492,0,Y, 0.00809,       ,       , ,N,N,N,    , 0.00129, 0.01336,2,9.49,1,1,All,2M,Simbad,126.99220700000001,22.10207,1.13
1030,665276415377154688,212112578,130.91151501446177,22.269234822064888,12.070869,0.0004666413756632293,12.562875,11.4491005,5.744007682186556,0.0503191034739731,AD 3228,0.92,12.03,10.25, 8.89, 0.4606,0,Y, 0.00797,       ,       , ,N,Y,N,    , 0.02050, 0.91958,K,12.29,1,2,All,2M,Simbad,130.91166299999998,22.269209,8.89
1033,689130461877120256,212127087,132.0613608665256,22.558974081988367,14.97904,0.0005090559931343946,16.110216,13.920832,5.694085772561425,0.04669438869954039,       ,0.56,15.28,11.65,18.11, 0.6055,0,Y, 0.00730,       ,       , ,N,Y,N,    , 0.02205, 0.90880,2,15.13,0,1,All,2M,Simbad,132.061544,22.55905,18.11
1040,689116030787033728,212140975,132.5921812114539,22.84087291431858,12.830451,0.00018360849443102442,13.305416,12.208698,1.3862410039275848,0.04030245295877147,AD 3770,0.66,12.58,10.9,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,12.64,1,2,All,2M,Simbad,132.592288,22.840870000000002,0.0
1042,677917607937780224,212147595,126.47642836155403,22.98112872162268,14.127757,0.00037651828411236444,14.975871,13.224611,5.0322979922037145,0.043518714628526946,AD 0795,0.61,14.17,11.28,14.11, 0.2680,0,Y, 0.00809,       ,       , ,N,Y,N,    , 0.00470, 0.16585,2,14.15,1,2,All,2M,Simbad,126.47656699999999,22.981195,14.11
