,Unnamed: 0,source_id,EPIC,ra,dec,G,G_err,bp,rp,parallax,parallax_err,BP_err,RP_err,Name,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,Kpmag,PrCat,PCat,All,2M,Simbad,_RA,_DE,prot
53,14899,659329126920001408,211832848,129.52966565939985,17.782391903234423,15.7482605,0.002,17.131956,14.574755999999999,5.3897656423720814,0.08947741309553664,0.2,0.01,HSHJ197,0.43,16.5,12.12, 0.90, 0.6289,0,Y, 0.00740,       ,       , ,N,N,N,    , 0.04071, 1.92834,2,15.9,0,2,All,2M,Simbad,129.52985,17.782413000000002,0.9
55,14914,659373141744409984,211833336,129.90415347539877,17.78881587168134,14.752680999999999,0.002,15.785395000000001,13.744132999999998,5.318754089257144,0.037924059871012716,0.01,0.01,AD 2595,0.57,14.99,11.6,16.89, 0.6107,0,Y, 0.00795,       ,       , ,N,Y,N,    , 0.01077, 0.55169,2,14.77,1,2,All,2M,Simbad,129.90433000000002,17.788852,16.89
57,14958,658615440793299712,211834355,130.35880803060564,17.803474660090128,16.564083,0.002,18.115892000000002,15.331376,5.525517862750517,0.1020514324225432,0.2,0.01,HSHJ372,0.29,17.16,12.77,21.32, 0.7461,0,Y, 0.00746,       ,       , ,N,N,M,    , 0.04419, 1.87489,2,16.67,0,2,All,2M,Simbad,130.358956,17.803537,21.32
61,14987,659364448730632448,211835162,130.25721362116556,17.814270087169362,17.561487,0.01,19.25026,16.276812,4.856793400554684,0.17946458866466986,0.2,0.01,AD 2872,0.2,18.32,13.51, 1.31, 0.2539,0,Y, 0.00664,       ,       , ,N,N,Y,    , 0.02602, 1.06015,2,17.05,0,2,All,2M,Simbad,130.257347,17.814329,1.31
65,15156,659343111333443968,211839847,129.04997811111826,17.87960211472337,17.614622,0.01,19.32088,16.316860000000002,5.270083123148899,0.1370049167358207,0.2,0.01,HSHJ110,0.2,18.35,13.55, 1.25, 0.3316,0,Y, 0.00786,       ,       , ,N,M,N,    , 0.02632, 0.96713,2,17.77,0,2,All,2M,Simbad,129.05017,17.879645999999997,1.25
66,15229,658628905514597376,211841501,131.04968310131596,17.902135386996502,9.814333999999999,0.0003,10.068524,9.441104,5.250280847968286,0.047366085946351215,0.002,0.002,       ,1.32,9.8,8.78, 1.88, 0.2502,1,Y, 0.00738, 0.5976, 0.0116,1,Y,N,N,    , 0.00127, 0.03726,2,9.95,1,1,All,2M,Simbad,131.049836,17.902186999999998,1.88
68,15244,659331875699052544,211841807,129.66629098364976,17.905818426795076,17.92276,0.01,19.639145000000003,16.613129,4.709584835572619,0.2707990104188676,0.2,0.01,HSHJ220,0.18,18.7,13.94, 2.01, 0.4227,0,Y, 0.00808,       ,       , ,N,N,N,    , 0.02131, 0.82267,2,18.06,0,2,All,2M,Simbad,129.666497,17.905835999999997,2.01
70,15251,658630249840567680,211841991,130.92930809742694,17.908275497545855,14.437420000000001,0.002,15.428587,13.450088500000001,5.401346089027177,0.07986183562048298,0.01,0.01,JS548  ,0.6,14.62,11.31,15.18, 0.1169,0,Y, 0.00854,       ,       , ,N,Y,N,    , 0.05556, 1.10184,2,14.52,1,2,All,2M,Simbad,130.92946799999999,17.908317,15.18
72,15275,659343626729512832,211842439,129.11573688931335,17.91481586371966,10.665988,0.0003,10.983936,10.212488,5.4040715800169545,0.04560214851855944,0.002,0.002,JS134  ,1.14,10.64,9.4, 7.67, 0.3833,0,Y, 0.00826, 2.2952, 0.0642,1,M,M,N,    , 0.01388, 0.43253,D,10.69,2,1,All,2M,Simbad,129.115898,17.914858,7.67
73,15373,659370461684793216,211845034,130.15090418121903,17.95007828181101,16.408344,0.002,17.947538,15.175336999999999,5.137542246156347,0.090150833849813,0.2,0.01,AD 2795,0.33,16.86,12.58, 1.33, 0.5304,0,Y, 0.00818,       ,       , ,N,M,M,    , 0.03558, 1.66515,2,16.47,0,2,All,2M,Simbad,130.1511,17.950111,1.33
75,15375,662182909350261632,211845069,127.51208635517906,17.950508075042514,17.947570000000002,0.01,19.756636,16.586617,5.3811825957581645,0.23665304883616545,0.2,0.01,HSHJ 2 ,0.19,18.88,13.72, 1.33, 0.1341,0,Y, 0.00802,       ,       , ,N,Y,N,    , 0.01841, 0.42662,2,18.18,0,2,All,2M,Simbad,127.51225,17.950592,1.33
76,15443,659532399131904768,211846954,129.00181847425893,17.975893455110327,15.536804,0.002,16.822845,14.398857999999999,5.343107302425392,0.05903978998729181,0.01,0.01,JS105  ,0.47,15.95,12.0, 0.91, 0.3220,0,Y, 0.00942,       ,       , ,N,Y,M,    , 0.01666, 0.40817,2,15.17,0,2,All,2M,Simbad,129.00195,17.975920000000002,0.91
77,15447,659380666527013248,211847321,129.87755343638545,17.980847783731033,17.48967,0.01,19.075210000000002,16.207017999999998,5.0976482659015945,0.1568082239463553,0.2,0.01,HSHJ271,0.2,18.2,13.51, 0.56, 0.0530,0,Y, 0.00715,       ,       , ,N,N,N,    , 0.01537, 0.12071,2,17.63,0,2,All,2M,Simbad,129.877757,17.980929999999997,0.56
79,15461,658641996575437440,211847798,130.57294256494993,17.987457320571956,16.675660999999998,0.002,18.238474,15.439264000000001,5.434266622795417,0.12819017677696548,0.2,0.01,HSHJ416,0.28,17.65,12.83,19.02, 0.4140,0,Y, 0.00807,       ,       , ,N,Y,M,    , 0.02048, 0.86156,2,16.02,0,2,All,2M,Simbad,130.57308,17.987457,19.02
82,15743,660210522927784576,211885995,132.36134954147974,18.522041396458,14.612248999999998,0.002,15.643773000000001,13.601716,5.330620922135658,0.09097238716295078,0.01,0.01,       ,0.6,14.88,11.39, 9.16, 0.9087,0,Y, 0.00758,       ,       , ,N,N,N,    , 0.04826, 2.19468,P,14.67,1,1,All,2M,Simbad,132.361537,18.522098,9.16
85,15795,660924582714941184,211887287,130.65945763303907,18.541023536187613,19.235804,0.01,21.031212,17.820616,4.41083302720094,0.383852647252956,0.2,0.2,HSHJ429,0.14,20.27,14.78, 0.56, 0.0187,0,N, 0.00588,       ,       , ,N,M,N,    , 0.06069, 0.55264,2,18.19,0,2,All,2M,Simbad,130.659636,18.541088000000002,0.56
86,15803,659660316141171968,211887567,129.09680684593852,18.54504141161365,19.294764,0.01,20.972313,17.856264000000003,5.3940544259024366,0.4876460854345755,0.2,0.2,AD 2159,0.14,20.37,14.71, 1.74, 0.1151,0,Y, 0.00790,       ,       , ,N,N,N,    , 0.04859, 1.14627,2,17.24,0,2,All,2M,Simbad,129.09698500000002,18.545078,1.74
87,15811,660918127380096640,211887839,130.87918545932192,18.54846836369724,13.455735999999998,0.002,14.224557,12.606825,5.912273548963402,0.12929680000847585,0.01,0.002,JS536  ,0.74,13.47,10.74,12.90, 0.5200,0,Y, 0.00839,       ,       , ,N,Y,N,    , 0.01104, 0.44001,K,13.45,1,2,All,2M,Simbad,130.879382,18.548525,12.9
90,15874,662291383044141824,211889082,127.48762905116146,18.56663655884311,14.674445,0.002,15.808014000000002,13.610744,5.691986319779176,0.1089878253890161,0.01,0.01,AD 1296,0.6,15.0,11.3,12.37, 0.5341,0,Y, 0.00779, 1.8731, 0.1045,0,Y,N,N,cand, 0.02988, 1.08477,2,14.69,1,2,All,2M,Simbad,127.48776399999998,18.566675,12.37
91,15915,659661213791017600,211889983,129.19613422802414,18.579647962608007,12.50592,0.0003,13.010677000000001,11.868098,4.991071970808012,0.05214789915432435,0.01,0.002,JS147  ,0.8,12.45,10.59, 9.54, 0.2069,0,Y, 0.00798, 5.0246, 0.1757,1,M,Y,N,    , 0.00539, 0.14465,K,12.49,1,2,All,2M,Simbad,129.19628600000001,18.579684,9.54
92,15927,660191934309271424,211890182,131.42013967179105,18.58255367104286,18.184969,0.01,19.92096,16.839869,5.3093246271660925,0.20388564153258426,0.2,0.01,AD 3438,0.17,19.13,14.08, 2.34, 0.0071,0,Y, 0.00575,       ,       , ,N,N,N,    , 0.03594, 0.49394,2,18.44,0,2,All,2M,Simbad,131.42037,18.582624,2.34
94,15931,659477217391773696,211890216,130.23029939722815,18.58300954661629,13.927447,0.002,14.757279,13.043008,5.313190779986883,0.03507072481139172,0.01,0.01,JS398  ,0.62,13.97,11.13,12.57, 0.7626,0,Y, 0.00882,       ,       , ,N,Y,Y,    , 0.01431, 0.71374,D,13.91,2,2,All,2M,Simbad,130.230459,18.583064,12.57
96,15963,660928259206807808,211890774,130.63340264327618,18.591062301602424,15.129478,0.002,16.267454,14.064975,5.447009541920613,0.0447837852254544,0.01,0.01,JS488  ,0.53,15.51,11.79, 9.42, 0.2428,0,Y, 0.00750,       ,       , ,N,N,N,    , 0.00673, 0.27355,2,15.16,0,2,All,2M,Simbad,130.633602,18.591136,9.42
100,15986,660939258619177984,211891359,131.15040160310713,18.59914477512126,13.747875,0.002,14.728132999999998,12.767019,5.429704456885368,0.02688657294809803,0.01,0.002,JS571  ,0.78,13.89,10.65,12.84, 0.7207,0,Y, 0.00825,       ,       , ,N,N,N,cand, 0.02443, 1.06266,K,13.8,1,2,All,2M,Simbad,131.150584,18.599204999999998,12.84
101,15999,660225160176260992,211891774,131.95343538529193,18.605374998521366,16.733366,0.002,18.412056,15.451962,5.347743154166274,0.10864237851393746,0.2,0.01,JS761  ,0.29,17.29,12.77, 0.59, 0.1059,0,N, 0.00637,       ,       , ,M,M,N,    , 0.01352, 0.03011,2,16.91,0,1,All,2M,Simbad,131.953588,18.605438,0.59
