kepid,Teff,logg,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag
9166386,6337,4.22,1.2172,4.599,0.012,2883.32,1.02,0.6269,0,---
9166595,5818,4.77,1.0529,4.39,0.006,9648.14,1.381,0.7237,0,---
9166700,6307,4.0,1.2068,3.909,0.108,434.96,0.593,0.4252,0,---
9166927,5828,4.54,1.0558,17.181,0.066,3550.05,0.548,0.3935,0,---
9171826,6235,4.24,1.1823,2.2,0.007,3023.06,0.853,0.5324,0,---
9171847,5574,4.33,0.9847,17.591,0.352,888.76,0.452,0.3152,0,---
9172211,4982,4.34,0.8296,25.996,0.308,4597.57,0.705,0.4903,0,---
9172217,5592,4.29,0.9896,5.347,0.006,15680.43,1.017,0.5697,0,---
9172288,4622,4.57,0.7342,23.343,0.1,5013.26,0.982,0.6131,0,---
9172504,5134,4.57,0.8689,8.076,0.049,17423.39,1.458,0.7626,0,---
9172572,4718,4.75,0.7601,28.95,0.137,9907.9,0.706,0.4779,0,---
9172729,5145,4.61,0.8718,10.212,0.014,9937.79,1.222,0.6523,0,---
9173014,6064,3.62,1.1268,2.456,0.003,650.17,0.506,0.3269,0,---
9173365,5779,3.83,1.0417,3.464,0.005,24417.76,1.514,0.7676,0,---
9173393,5336,4.12,0.9214,23.719,0.656,5895.7,0.789,0.4989,0,---
9173541,5985,3.81,1.1024,4.031,0.139,2499.55,0.46,0.2951,0,---
9173604,5685,4.57,1.0152,2.661,0.024,20081.22,1.426,0.7216,0,---
9173741,5146,4.45,0.872,20.403,0.228,8993.24,1.135,0.6228,0,---
9173820,6162,4.12,1.1581,18.287,0.041,1245.02,0.798,0.4464,0,---
9174258,4973,4.51,0.8273,15.414,0.068,13401.42,1.39,0.7017,0,---
9174418,5298,4.53,0.9115,17.323,0.443,7089.91,0.722,0.4543,0,---
9174466,4596,4.7,0.7271,36.189,0.763,6329.36,0.774,0.4394,0,---
9174504,6137,4.12,1.15,2.259,0.003,2218.43,0.72,0.4564,0,---
9174536,5950,4.36,1.0918,1.781,0.003,2613.66,1.452,0.7338,0,---
9174800,4462,4.66,0.6896,25.413,0.65,3250.06,0.76,0.4848,0,---
9174862,4470,4.48,0.6919,16.86,0.097,16749.44,1.302,0.7022,0,---
9174919,6018,4.17,1.1125,7.932,0.032,940.68,0.479,0.3378,0,---
9175366,5343,3.79,0.9232,24.591,0.223,3599.05,0.881,0.5185,0,---
9175570,5182,4.35,0.8813,13.772,0.028,13402.82,1.112,0.6324,0,---
9176145,5180,4.2,0.8808,13.785,0.039,8659.03,1.187,0.675,0,---
9178003,5680,3.91,1.0138,16.386,0.124,2997.91,0.673,0.4783,0,---
9178421,5512,4.3,0.9679,18.227,1.184,4935.86,0.812,0.542,0,---
9178425,5020,4.59,0.8394,0.523,0.003,59163.81,1.398,0.6657,0,---
9178548,6393,3.56,1.237,0.74,0.012,1101.91,0.469,0.3284,0,---
9179046,4894,4.12,0.8067,19.273,0.032,9630.5,1.116,0.6596,0,---
9179191,5660,4.55,1.0082,4.816,0.006,11573.67,1.223,0.658,0,---
9179219,5480,4.37,0.9594,24.27,2.286,2367.02,0.404,0.306,0,---
9179256,4683,4.57,0.7507,24.087,0.071,14944.14,1.332,0.646,0,---
9179509,4978,4.58,0.8286,22.628,0.366,5554.05,1.0,0.5963,0,---
9179513,5340,4.52,0.9224,13.655,0.168,4226.68,0.924,0.5491,0,---
9179536,5575,4.13,0.9849,6.7,0.035,2311.97,0.5,0.2994,0,---
9179683,4470,4.4,0.6919,13.743,0.003,19526.48,1.364,0.7355,0,---
9179713,4757,4.19,0.7706,26.372,0.165,11198.13,1.079,0.588,0,---
9180282,6204,4.1,1.1719,1.52,0.003,2159.86,1.222,0.6721,0,---
9180618,6058,4.32,1.1249,1.849,0.005,949.71,0.509,0.3248,0,---
9180700,5618,4.44,0.9967,13.394,0.117,4673.48,0.918,0.5841,0,---
9180708,5612,4.28,0.995,3.393,0.018,1349.45,0.432,0.2512,0,---
9181027,5601,4.67,0.992,18.066,0.104,1662.7,0.368,0.2582,0,---
9181083,5532,4.81,0.9733,12.887,0.138,4710.67,0.878,0.5438,0,---
9181091,5165,4.57,0.8769,4.142,0.066,3824.53,0.833,0.4544,0,---
9181340,5937,4.38,1.0879,2.135,0.005,2002.3,0.479,0.2959,0,---
9181442,5848,4.52,1.0616,9.964,0.119,2761.48,0.624,0.4146,0,---
9181883,5558,3.96,0.9803,14.928,0.073,7148.21,0.913,0.5874,0,---
9181959,4902,4.47,0.8088,18.908,0.089,14504.52,1.059,0.6332,0,---
9182085,5243,3.79,0.8972,12.883,2.474,7117.6,1.123,0.6366,0,---
9182310,6085,3.76,1.1334,1.496,0.115,10772.94,1.282,0.6814,0,---
9182391,5564,3.77,0.982,7.147,0.056,2599.57,0.444,0.2629,0,---
9182484,5979,3.94,1.1006,3.93,0.047,2195.24,1.089,0.6172,0,---
9182562,5941,4.01,1.0891,19.311,0.137,922.08,0.869,0.4953,0,---
9182617,5772,3.74,1.0397,0.398,0.094,4986.7,0.504,0.2996,0,---
9182882,4844,4.38,0.7936,28.038,0.327,3587.93,0.578,0.4004,0,---
9182941,4938,4.4,0.8182,1.122,0.004,21482.97,1.76,0.8152,0,---
9183174,5524,3.89,0.9712,7.993,0.031,5867.45,1.321,0.7178,0,---
9183249,5759,4.16,1.036,8.972,0.044,16163.26,1.318,0.7189,0,---
9183503,5965,4.03,1.0963,5.82,0.021,10623.81,0.957,0.5741,0,---
