,KOI,feh,feh_errm,feh_errp,logg,logg_errm,logg_errp,period,period_errm,period_errp,teff,teff_errm,teff_errp
450,1629,-0.18,-0.3,0.26,4.284,-0.248,0.156,18.080190982237283,1.1273977239320312,1.0672440374156713,6053.0,-170.0,148.0
451,1632,0.12,-0.074,0.074,4.282,-0.022000000000000002,0.022000000000000002,10.048511690748786,1.0127900573083977,1.0170404298039601,5793.0,-74.0,74.0
452,1639,0.02,-0.34,0.26,3.742,-0.31,0.5870000000000001,13.130170478140418,1.0107625822840431,1.0117519003716895,5267.0,-187.0,176.0
453,1647,-0.22,-0.28,0.34,4.602,-0.059000000000000004,0.040999999999999995,19.304984674975433,1.0796569308411683,1.1839054798028192,4894.0,-128.0,149.0
454,1655,-0.38,-0.3,0.24,4.17,-0.256,0.195,18.65090062056665,1.0234934401077138,1.021449628600975,6514.0,-213.0,167.0
455,1665,-0.42,-0.3,0.34,4.65,-0.1,0.027000000000000003,17.9657380917825,1.039381727504396,1.0449849412864984,5166.0,-132.0,153.0
456,1666,-0.3,-0.32,0.34,4.66,-0.069,0.035,16.58049808604756,1.540027107413744,1.0464341734718408,4696.0,-160.0,176.0
457,1669,-0.06,-0.28,0.24,4.544,-0.292,0.027000000000000003,21.152486096650144,1.034976624867196,1.0328079641351369,5737.0,-151.0,160.0
458,1688,0.13,-0.101,0.101,3.923,-0.04,0.04,14.535796022744497,1.0090466232297763,1.010627657586429,6131.0,-75.0,75.0
459,1692,-0.54,-0.28,0.3,4.375,-0.245,0.13,26.994536207796802,1.0034443241010642,1.0031990408278562,6074.0,-173.0,171.0
460,1695,-0.16,-0.32,0.22,4.3839999999999995,-0.35600000000000004,0.062,15.816020363693898,1.0381399636182467,1.065501304436817,6528.0,-214.0,161.0
461,1706,-0.28,-0.32,0.24,4.406000000000001,-0.292,0.07,14.89313965845991,1.0339874461366134,1.0441873708483171,6282.0,-189.0,153.0
462,1707,-0.4,-0.26,0.34,4.541,-0.272,0.051,20.39374003976272,1.1012088774507554,1.115810331946063,5592.0,-169.0,205.0
463,1715,-0.34,-0.3,0.3,4.282,-0.226,0.16699999999999998,18.40002816949466,1.0225000661022996,1.0327176062953964,6112.0,-176.0,155.0
464,1726,-0.1,-0.3,0.22,4.166,-0.305,0.188,14.399075988993188,1.0389497874322264,1.0603077991198877,6461.0,-191.0,147.0
465,1738,-0.26,-0.32,0.24,4.488,-0.29100000000000004,0.045,18.382866664121288,1.0294150896119894,1.0306402841633644,6184.0,-189.0,155.0
466,1739,-0.42,-0.24,0.32,4.449,-0.27,0.095,2.1452080277430325,4.420028243115727,1.9139853581285597,5799.0,-143.0,161.0
467,1751,-0.2,-0.26,0.34,3.9589999999999996,-0.312,0.456,24.148554669436578,1.0042803978636625,1.0046724341980529,5491.0,-145.0,174.0
468,1754,0.42,-0.162,0.162,2.605,-0.016,0.016,8.415270406902797,1.0053896476137223,1.0051092358875953,4553.0,-97.0,97.0
469,1779,-0.48,-0.26,0.34,4.474,-0.287,0.092,7.372668000324191,1.002307008391076,1.0022302999294541,5676.0,-140.0,173.0
470,1781,-0.02,-0.101,0.101,4.321000000000001,-0.012,0.012,10.554303319659638,1.0020766913256725,1.0021313548647803,5982.0,-82.0,82.0
471,1783,0.0,-0.3,0.28,4.61,-0.06,0.031,23.75429095563926,1.1592444801812332,1.121485084456679,4787.0,-128.0,144.0
472,1792,-0.04,-0.3,0.24,4.063,-0.248,0.271,18.339894669533578,1.0124997142912748,1.0141736402375345,6257.0,-236.0,181.0
473,1796,0.21,-0.27,0.17,3.98,-0.165,0.308,11.705412532261088,1.0025105342124294,1.002461988772548,5888.0,-173.0,163.0
474,1797,-0.2,-0.3,0.3,4.024,-0.017,0.015,10.908033310605385,1.0020025037222675,1.0022177686562064,6491.0,-69.0,69.0
475,1800,-0.82,-0.3,0.34,4.62,-0.10400000000000001,0.04,6.5818836920558255,1.00204452799338,1.0018790047004846,5500.0,-153.0,186.0
476,1802,-0.04,-0.26,0.25,4.551,-0.272,0.026000000000000002,14.006569408310408,1.0017739267096444,1.0018246541640223,5653.0,-161.0,165.0
477,1803,-0.28,-0.28,0.3,4.342,-0.237,0.132,22.960990972682183,1.0031149623702886,1.0033754133517787,5996.0,-167.0,153.0
478,1805,-0.2,-0.06,0.06,4.045,-0.018000000000000002,0.018000000000000002,13.530245230031044,1.001407325577384,1.0014457317240697,5911.0,-66.0,66.0
479,1806,0.0,-0.3,0.21,4.35,-0.315,0.098,26.68107371150632,1.0062251404631302,1.00698443528565,6099.0,-190.0,146.0
480,1808,0.04,-0.32,0.2,4.162,-0.315,0.198,8.728543044624091,1.0033765434707456,1.0034037789083898,6366.0,-257.0,170.0
481,1809,0.16,-0.36,0.16,4.319,-0.389,0.095,21.388789541606922,1.0034165770186538,1.0035386061962293,6292.0,-217.0,159.0
482,1812,-0.2,-0.28,0.34,4.562,-0.114,0.047,3.935451957423739,1.9303496374885865,1.5539618812497396,5129.0,-159.0,203.0
483,1813,-0.16,-0.3,0.23,4.261,-0.317,0.132,18.837264307851328,1.0019369146537607,1.0020037456849762,6450.0,-193.0,150.0
484,1815,-0.32,-0.3,0.28,4.185,-0.264,0.2,18.61715896704074,1.0043816642270602,1.0052289704395876,6347.0,-198.0,162.0
